customer,lat,lng,row_idx_TIFF,col_idx_TIFF,lat_TIFF,lng_TIFF
ee_building,13.73677405,100.5321224,847,864,13.73650241,100.5299
FN_huahin,12.66683002,99.95290502,908,832,12.66267859,99.95509
