Datetime,Cloud Index_95 (-)
2024-08-03 04:10:00,0.0
2024-08-03 04:20:00,0.0
2024-08-03 05:00:00,0.003921569
2024-08-03 05:20:00,0.0
2024-08-03 05:40:00,0.0
2024-08-03 06:50:00,0.0
2024-08-03 07:00:00,0.0
2024-08-03 07:10:00,0.4
2024-08-03 07:20:00,0.380392157
2024-08-03 08:00:00,0.4
2024-08-03 08:10:00,0.0
2024-08-03 08:30:00,0.0
2024-08-03 08:50:00,0.4
2024-08-03 09:00:00,0.0
2024-08-03 09:20:00,0.0
2024-08-03 09:40:00,0.0
2024-08-03 09:50:00,0.592156863
2024-08-03 10:10:00,0.631372549
2024-08-03 10:20:00,0.0
2024-08-03 10:50:00,0.0
2024-08-03 11:00:00,0.0
2024-08-03 11:20:00,0.0
2024-08-03 12:00:00,0.003921569
2024-08-03 14:10:00,0.4
2024-08-03 14:20:00,0.380392157
2024-08-03 15:00:00,0.4
2024-08-03 15:50:00,0.4
2024-08-03 16:50:00,0.592156863
2024-08-03 17:10:00,0.631372549
2024-08-03 17:30:00,0.658823529
2024-08-03 17:50:00,0.698039216
2024-08-03 19:20:00,0.694117647
2024-08-03 19:50:00,0.725490196
2024-08-03 21:20:00,0.419607843
2024-08-03 22:10:00,0.721568627
2024-08-03 22:40:00,0.721568627
2024-08-03 23:10:00,0.764705882
2024-08-04 00:40:00,0.643137255
2024-08-04 00:50:00,0.560784314
2024-08-04 03:00:00,0.003921569
2024-08-04 03:40:00,0.0
2024-08-04 04:50:00,0.0
2024-08-04 05:10:00,0.0
2024-08-04 05:20:00,0.0
2024-08-04 05:30:00,0.0
2024-08-04 06:50:00,0.0
2024-08-04 07:40:00,0.0
2024-08-04 08:00:00,0.0
2024-08-04 08:30:00,0.0
2024-08-04 09:10:00,0.0
2024-08-04 11:00:00,0.0
2024-08-04 12:10:00,0.003921569
2024-08-04 12:40:00,0.023529412
2024-08-04 14:00:00,0.498039216
2024-08-04 15:20:00,0.580392157
2024-08-04 16:50:00,0.717647059
2024-08-04 17:00:00,0.654901961
2024-08-04 17:50:00,0.831372549
2024-08-04 19:00:00,0.788235294
2024-08-04 19:10:00,0.77254902
2024-08-04 19:20:00,0.811764706
2024-08-04 20:10:00,0.835294118
2024-08-04 21:10:00,0.776470588
2024-08-05 00:20:00,0.71372549
2024-08-05 01:30:00,0.423529412
2024-08-05 02:30:00,0.003921569
2024-08-05 03:50:00,0.0
2024-08-05 05:30:00,0.0
2024-08-05 07:00:00,0.0
2024-08-05 07:10:00,0.0
2024-08-05 07:20:00,0.0
2024-08-05 07:30:00,0.0
2024-08-05 07:50:00,0.0
2024-08-05 08:00:00,0.0
2024-08-05 08:30:00,0.0
2024-08-05 08:40:00,0.0
2024-08-05 08:50:00,0.0
2024-08-05 09:00:00,0.0
2024-08-05 09:10:00,0.0
2024-08-05 09:30:00,0.0
2024-08-05 09:40:00,0.0
2024-08-05 09:50:00,0.0
2024-08-05 10:00:00,0.0
2024-08-05 10:10:00,0.0
2024-08-05 10:20:00,0.0
2024-08-05 10:30:00,0.0
2024-08-05 10:40:00,0.0
2024-08-05 10:50:00,0.0
2024-08-05 11:00:00,0.0
2024-08-05 11:10:00,0.0
2024-08-05 11:20:00,0.0
2024-08-05 11:30:00,0.003921569
2024-08-05 11:50:00,0.007843137
2024-08-05 12:00:00,0.003921569
2024-08-05 12:20:00,0.003921569
2024-08-05 12:40:00,0.023529412
2024-08-05 12:50:00,0.078431372
2024-08-05 13:00:00,0.262745098
2024-08-05 13:20:00,0.415686275
2024-08-05 13:50:00,0.282352941
2024-08-05 14:20:00,0.352941177
2024-08-05 14:30:00,0.337254902
2024-08-05 14:40:00,0.333333333
2024-08-05 14:50:00,0.368627451
2024-08-05 15:00:00,0.364705882
2024-08-05 15:30:00,0.349019608
2024-08-05 15:40:00,0.329411765
2024-08-05 15:50:00,0.341176471
2024-08-05 16:00:00,0.345098039
2024-08-05 16:10:00,0.341176471
2024-08-05 16:30:00,0.403921569
2024-08-05 16:50:00,0.4
2024-08-05 17:10:00,0.439215686
2024-08-05 17:20:00,0.478431373
2024-08-05 17:30:00,0.525490196
2024-08-05 17:50:00,0.560784314
2024-08-05 18:20:00,0.568627451
2024-08-05 18:40:00,0.619607843
2024-08-05 18:50:00,0.505882353
2024-08-05 19:20:00,0.670588235
2024-08-05 19:30:00,0.6
2024-08-05 19:40:00,0.643137255
2024-08-05 19:50:00,0.654901961
2024-08-05 20:10:00,0.529411765
2024-08-05 20:20:00,0.533333333
2024-08-05 20:40:00,0.458823529
2024-08-05 20:50:00,0.537254902
2024-08-05 21:00:00,0.529411765
2024-08-05 21:20:00,0.666666667
2024-08-05 21:30:00,0.580392157
2024-08-05 21:40:00,0.474509804
2024-08-05 21:50:00,0.509803922
2024-08-05 22:10:00,0.611764706
2024-08-05 22:20:00,0.71372549
2024-08-05 22:50:00,0.525490196
2024-08-05 23:10:00,0.839215686
2024-08-05 23:30:00,0.71372549
2024-08-05 23:40:00,0.721568627
2024-08-05 23:50:00,0.68627451
2024-08-06 00:10:00,0.48627451
2024-08-06 00:20:00,0.564705882
2024-08-06 00:40:00,0.541176471
2024-08-06 00:50:00,0.396078431
2024-08-06 01:00:00,0.447058823
2024-08-06 01:10:00,0.376470588
2024-08-06 01:20:00,0.31372549
2024-08-06 01:30:00,0.266666667
2024-08-06 01:40:00,0.22745098
2024-08-06 01:50:00,0.070588235
2024-08-06 02:00:00,0.02745098
2024-08-06 02:20:00,0.003921569
2024-08-06 02:30:00,0.003921569
2024-08-06 02:50:00,0.003921569
2024-08-06 03:00:00,0.003921569
2024-08-06 03:10:00,0.007843137
2024-08-06 03:40:00,0.0
2024-08-06 03:50:00,0.0
2024-08-06 04:00:00,0.0
2024-08-06 04:20:00,0.0
2024-08-06 04:30:00,0.0
2024-08-06 04:50:00,0.0
2024-08-06 05:10:00,0.0
